domain,institution,driving_model,experiment,ensemble,model,model_version,frequency,variable,search_url,status
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,3hr,ua500,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua500%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,3hr,ua700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua700%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,6hr,zg700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%226hr%22%2C%22variable%22%3A%22zg700%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,3hr,wa500,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22wa500%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,6hr,ps,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%226hr%22%2C%22variable%22%3A%22ps%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,3hr,wa925,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22wa925%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,6hr,zg500,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%226hr%22%2C%22variable%22%3A%22zg500%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,day,cape,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%22day%22%2C%22variable%22%3A%22cape%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,1hr,rsds,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22rsds%22%7D,published
ALP-3,AUTH-MC,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BG,fpsconv-x1n2-v1,3hr,ta700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22evaluation%22%2C%22driving_model%22%3A%22ECMWF-ERAINT%22%2C%22institute%22%3A%22AUTH-MC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22WRF381BG%22%2C%22rcm_version%22%3A%22fpsconv-x1n2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ta700%22%7D,published
